0.2984	3.0968
0.4288	3.3382
0.6188	3.6086
0.8944	3.9084
1.2936	4.2389
1.8715	4.6017
2.7077	4.9989
3.6147	5.3324
4.7507	5.6607
6.1927	5.9896
7.9978	6.3164
10.2261	6.6384
13.0278	6.9632
16.5697	7.2937
21.0428	7.6308
26.3386	7.9551
32.836	8.2793
40.7774	8.6028
50.0208	8.9117
60.3211	9.1952
72.176	9.4636
83.9682	9.6841
98.0269	9.898
116.4274	10.1285
137.9631	10.3545
163.8938	10.5835
194.1450	10.8094
228.5169	11.0263
266.8885	11.2296
310.8067	11.4241
360.0325	11.6064
414.1303	11.7726
474.9556	11.9267
541.0643	12.0645
614.3686	12.1889
691.3730	12.2939
775.2176	12.3834
866.8095	12.4582
967.1457	12.5195
1077.3149	12.5688
1194.2646	12.6053
